ra,batch,batch_path,image,image_path,title,google,identifiable,diversity_none,diversity_bipoc,diversity_non_cis_man,diversity_lgbq,diversity_non_christian,diversity_disabled,diversity_other,diversity_ambiguous
Stephanie,Batch 1 training set,../coded-books/Stephanie\Batch 1 training set,user2133_4504_book_6_6.jpg,../coded-books/Stephanie\Batch 1 training set\user2133_4504_book_6_6.jpg,the chronicles of narnia,https://www.google.com/books/edition/The_Chronicles_of_Narnia_adult/ArLbO9YdVMMC?hl=en&gbpv=1&dq=the+chronicles+of+narnia&printsec=frontcover,yes,True,False,False,False,False,False,False,False
Emily,Batch 8,../coded-books/Emily\Batch 8,user2133_4504_book_6_6.jpg,../coded-books/Emily\Batch 8\user2133_4504_book_6_6.jpg,the chronicles of narnia,https://www.google.com/books/edition/The_Chronicles_of_Narnia_adult/ArLbO9YdVMMC?hl=en&gbpv=0,yes,True,False,False,False,False,False,False,False
Emily,Batch 1 training set,../coded-books/Emily\Batch 1 training set,user2133_4504_book_8_8.jpg,../coded-books/Emily\Batch 1 training set\user2133_4504_book_8_8.jpg,a wrinkle in time,https://www.google.com/books/edition/A_Wrinkle_in_Time_Movie_Tie_In_Edition/04g3zgEACAAJ?hl=en,yes,True,False,False,False,False,False,False,False
Nicole Stern,Batch 1 training set,../coded-books/Nicole Stern\Batch 1 training set,user2133_4504_book_8_8.jpg,../coded-books/Nicole Stern\Batch 1 training set\user2133_4504_book_8_8.jpg,a wrinkle in time,https://www.google.com/books/edition/A_Wrinkle_in_Time_Movie_Tie_In_Edition/znZxtAEACAAJ?hl=en,yes,True,False,False,False,False,False,False,False
Sabrina,Batch 1 training set,../coded-books/Sabrina\Batch 1 training set,user2133_4504_book_8_8.jpg,../coded-books/Sabrina\Batch 1 training set\user2133_4504_book_8_8.jpg,"a wrinkle in time
",https://www.google.com/books/edition/A_Wrinkle_in_Time_Movie_Tie_In_Edition/znZxtAEACAAJ?hl=en,yes,True,False,False,False,False,False,False,False
Stephanie,Batch 1 training set,../coded-books/Stephanie\Batch 1 training set,user2133_4504_book_8_8.jpg,../coded-books/Stephanie\Batch 1 training set\user2133_4504_book_8_8.jpg,a wrinkle in time,https://www.google.com/books/edition/A_Wrinkle_in_Time_Movie_Tie_In_Edition/04g3zgEACAAJ?hl=en,yes,True,False,False,False,False,False,False,False
Nicole Stern,Batch 21,../coded-books/Nicole Stern\Batch 21,user2133_4504_book_8_8.jpg,../coded-books/Nicole Stern\Batch 21\user2133_4504_book_8_8.jpg,a wrinkle in time,https://www.google.com/books/edition/A_Wrinkle_in_Time_50th_Anniversary_Comme/26O_zA8YzZcC?hl=en&gbpv=0,yes,True,False,False,False,False,False,False,False
Emily,Batch 1 training set,../coded-books/Emily\Batch 1 training set,user2152_1989_book_1_2.jpg,../coded-books/Emily\Batch 1 training set\user2152_1989_book_1_2.jpg,what do you do with a problem?,https://www.google.com/books/edition/What_Do_You_Do_with_a_Problem/weZhzgEACAAJ?hl=en,yes,True,False,False,False,False,False,False,False
Nicole Stern,Batch 1 training set,../coded-books/Nicole Stern\Batch 1 training set,user2152_1989_book_1_2.jpg,../coded-books/Nicole Stern\Batch 1 training set\user2152_1989_book_1_2.jpg,what do you do with a problem? ,https://www.google.com/books/edition/What_Do_You_Do_with_a_Problem/weZhzgEACAAJ?hl=en,yes,True,False,False,False,False,False,False,False
Sabrina,Batch 1 training set,../coded-books/Sabrina\Batch 1 training set,user2152_1989_book_1_2.jpg,../coded-books/Sabrina\Batch 1 training set\user2152_1989_book_1_2.jpg,"what do you do with a problem?
",https://www.google.com/books/edition/What_Do_You_Do_with_a_Problem/weZhzgEACAAJ?hl=en,yes,True,False,False,False,False,False,False,False
Stephanie,Batch 1 training set,../coded-books/Stephanie\Batch 1 training set,user2152_1989_book_1_2.jpg,../coded-books/Stephanie\Batch 1 training set\user2152_1989_book_1_2.jpg,what would you do with a problem,https://www.google.com/books/edition/What_Do_You_Do_with_a_Problem/weZhzgEACAAJ?hl=en,yes,True,False,False,False,False,False,False,False
Emily,Batch 24,../coded-books/Emily\Batch 24,user2152_1989_book_1_2.jpg,../coded-books/Emily\Batch 24\user2152_1989_book_1_2.jpg,what do you do with a problem?,https://www.google.com/books/edition/What_Do_You_Do_with_a_Problem/weZhzgEACAAJ?hl=en,yes,True,False,False,False,False,False,False,False
Emily,Batch 1 training set,../coded-books/Emily\Batch 1 training set,user2152_2622_book_1_5.jpg,../coded-books/Emily\Batch 1 training set\user2152_2622_book_1_5.jpg,if you give a mouse a cookie,https://www.google.com/books/edition/If_You_Give_a_Mouse_a_Cookie_Big_Book/b760ngEACAAJ?hl=en,yes,True,False,False,False,False,False,False,False
Nicole Stern,Batch 1 training set,../coded-books/Nicole Stern\Batch 1 training set,user2152_2622_book_1_5.jpg,../coded-books/Nicole Stern\Batch 1 training set\user2152_2622_book_1_5.jpg,if you give a mouse a cookie,https://www.google.com/books/edition/If_You_Give_a_Mouse_a_Cookie/UAPknQEACAAJ?hl=en,yes,True,False,False,False,False,False,False,False
Sabrina,Batch 1 training set,../coded-books/Sabrina\Batch 1 training set,user2152_2622_book_1_5.jpg,../coded-books/Sabrina\Batch 1 training set\user2152_2622_book_1_5.jpg,if you give a mouse a cookie,https://www.google.com/books/edition/If_You_Give_a_Mouse_a_Cookie_Big_Book/b760ngEACAAJ?hl=en,yes,True,False,False,False,False,False,False,False
Stephanie,Batch 1 training set,../coded-books/Stephanie\Batch 1 training set,user2152_2622_book_1_5.jpg,../coded-books/Stephanie\Batch 1 training set\user2152_2622_book_1_5.jpg,if you give a mouse a cookie,https://www.google.com/books/edition/If_You_Give_a_Mouse_a_Cookie_Big_Book/b760ngEACAAJ?hl=en,yes,True,False,False,False,False,False,False,False
Michelle,Batch 11,../coded-books/Michelle\Batch 11,user2152_2622_book_1_5.jpg,../coded-books/Michelle\Batch 11\user2152_2622_book_1_5.jpg,if you give a mouse a cookie ,https://books.google.com/books?id=b760ngEACAAJ&dq=if+you+give+a+mouse+a+cookie&hl=en&newbks=1&newbks_redir=0&sa=X&ved=2ahUKEwjD1YmyhMD7AhWOMlkFHYsoAGAQ6AF6BAgBEAI,yes,True,False,False,False,False,False,False,False
Emily,Batch 1 training set,../coded-books/Emily\Batch 1 training set,user2156_1995_book_10_11.jpg,../coded-books/Emily\Batch 1 training set\user2156_1995_book_10_11.jpg,perfect square,https://www.google.com/books/edition/Perfect_Square/HxF9AtARsBoC?hl=en&gbpv=1&dq=perfect+square&printsec=frontcover,yes,True,False,False,False,False,False,False,False
Nicole Stern,Batch 1 training set,../coded-books/Nicole Stern\Batch 1 training set,user2156_1995_book_10_11.jpg,../coded-books/Nicole Stern\Batch 1 training set\user2156_1995_book_10_11.jpg,perfect square,https://www.google.com/books/edition/Perfect_Square/HxF9AtARsBoC?hl=en&gbpv=0,yes,True,False,False,False,False,False,False,False
Sabrina,Batch 1 training set,../coded-books/Sabrina\Batch 1 training set,user2156_1995_book_10_11.jpg,../coded-books/Sabrina\Batch 1 training set\user2156_1995_book_10_11.jpg,perfect square,https://www.google.com/books/edition/Perfect_Square/HxF9AtARsBoC?hl=en&gbpv=1&dq=perfect+square&printsec=frontcover,yes,True,False,False,False,False,False,False,False
Stephanie,Batch 1 training set,../coded-books/Stephanie\Batch 1 training set,user2156_1995_book_10_11.jpg,../coded-books/Stephanie\Batch 1 training set\user2156_1995_book_10_11.jpg,perfect square,https://www.google.com/books/edition/Perfect_Square/HxF9AtARsBoC?hl=en&gbpv=0,yes,True,False,False,False,False,False,False,False
Stephanie,Batch 14,../coded-books/Stephanie\Batch 14,user2156_1995_book_10_11.jpg,../coded-books/Stephanie\Batch 14\user2156_1995_book_10_11.jpg,perfect square,https://www.google.com/books/edition/Perfect_Square/HxF9AtARsBoC?hl=en&gbpv=1&dq=perfect+square&printsec=frontcover,yes,True,False,False,False,False,False,False,False
Emily,Batch 1 training set,../coded-books/Emily\Batch 1 training set,user2156_1995_book_8_9.jpg,../coded-books/Emily\Batch 1 training set\user2156_1995_book_8_9.jpg,mixed: a colorful story,https://www.google.com/books/edition/Mixed_A_Colorful_Story/yU1LDwAAQBAJ?hl=en&gbpv=1&dq=mixed+a+colorful+story&printsec=frontcover,yes,True,False,False,False,False,False,False,False
Nicole Stern,Batch 1 training set,../coded-books/Nicole Stern\Batch 1 training set,user2156_1995_book_8_9.jpg,../coded-books/Nicole Stern\Batch 1 training set\user2156_1995_book_8_9.jpg,mixed: a colorful story,https://www.google.com/books/edition/Mixed_A_Colorful_Story/yU1LDwAAQBAJ?hl=en&gbpv=1&dq=mixed+a+colorful+story&printsec=frontcover,yes,True,False,False,False,False,False,False,False
Sabrina,Batch 1 training set,../coded-books/Sabrina\Batch 1 training set,user2156_1995_book_8_9.jpg,../coded-books/Sabrina\Batch 1 training set\user2156_1995_book_8_9.jpg,mixed a colorful story,https://www.google.com/books/edition/Mixed_A_Colorful_Story/yU1LDwAAQBAJ?hl=en&gbpv=1&dq=mixed+a+colorful+story&printsec=frontcover,yes,True,False,False,False,False,False,False,False
Stephanie,Batch 1 training set,../coded-books/Stephanie\Batch 1 training set,user2156_1995_book_8_9.jpg,../coded-books/Stephanie\Batch 1 training set\user2156_1995_book_8_9.jpg,mixed: a colorful story,https://www.google.com/books/edition/Mixed_A_Colorful_Story/yU1LDwAAQBAJ?hl=en&gbpv=0,yes,False,False,False,False,False,False,False,True
Nicole Stern,Batch 22,../coded-books/Nicole Stern\Batch 22,user2156_1995_book_8_9.jpg,../coded-books/Nicole Stern\Batch 22\user2156_1995_book_8_9.jpg,mixed: a colorful story,https://www.google.com/books/edition/Mixed_A_Colorful_Story/yU1LDwAAQBAJ?hl=en&gbpv=0,yes,True,False,False,False,False,False,False,False
Emily,Batch 1 training set,../coded-books/Emily\Batch 1 training set,user2156_1996_book_10_11.jpg,../coded-books/Emily\Batch 1 training set\user2156_1996_book_10_11.jpg,the museum,https://www.google.com/books/edition/The_Museum/MeIwBQAAQBAJ?hl=en&gbpv=1&dq=the+museum&printsec=frontcover,yes,False,False,False,False,False,False,False,False
Nicole Stern,Batch 1 training set,../coded-books/Nicole Stern\Batch 1 training set,user2156_1996_book_10_11.jpg,../coded-books/Nicole Stern\Batch 1 training set\user2156_1996_book_10_11.jpg,the museum,https://www.google.com/books/edition/The_Museum/MeIwBQAAQBAJ?hl=en&gbpv=0,yes,False,False,False,False,False,False,False,False
Sabrina,Batch 1 training set,../coded-books/Sabrina\Batch 1 training set,user2156_1996_book_10_11.jpg,../coded-books/Sabrina\Batch 1 training set\user2156_1996_book_10_11.jpg,the museum,https://www.google.com/books/edition/The_Museum/MeIwBQAAQBAJ?hl=en&gbpv=1&dq=the+museum&printsec=frontcover,yes,False,False,False,False,False,False,False,False
Stephanie,Batch 1 training set,../coded-books/Stephanie\Batch 1 training set,user2156_1996_book_10_11.jpg,../coded-books/Stephanie\Batch 1 training set\user2156_1996_book_10_11.jpg,the museum,https://www.google.com/books/edition/The_Museum/MeIwBQAAQBAJ?hl=en&gbpv=0,yes,False,False,False,False,False,False,False,False
Stephanie,Batch 36,../coded-books/Stephanie\Batch 36,user2156_1996_book_10_11.jpg,../coded-books/Stephanie\Batch 36\user2156_1996_book_10_11.jpg,the museum,https://www.google.com/books/edition/The_Museum/MeIwBQAAQBAJ?hl=en&gbpv=1&dq=the+museum&printsec=frontcover,yes,False,False,True,False,False,False,False,False
Emily,Batch 1 training set,../coded-books/Emily\Batch 1 training set,user2156_1997_book_8_9.jpg,../coded-books/Emily\Batch 1 training set\user2156_1997_book_8_9.jpg,art & max,https://www.google.com/books/edition/Art_Max/0XFVvdnjQTgC?hl=en&gbpv=1&dq=art+and+max&printsec=frontcover,yes,True,False,False,False,False,False,False,False
Nicole Stern,Batch 1 training set,../coded-books/Nicole Stern\Batch 1 training set,user2156_1997_book_8_9.jpg,../coded-books/Nicole Stern\Batch 1 training set\user2156_1997_book_8_9.jpg,art & max,https://www.google.com/books/edition/Art_Max/0XFVvdnjQTgC?hl=en&gbpv=0,yes,True,False,False,False,False,False,False,False
Sabrina,Batch 1 training set,../coded-books/Sabrina\Batch 1 training set,user2156_1997_book_8_9.jpg,../coded-books/Sabrina\Batch 1 training set\user2156_1997_book_8_9.jpg,,,no,False,False,False,False,False,False,False,False
Stephanie,Batch 1 training set,../coded-books/Stephanie\Batch 1 training set,user2156_1997_book_8_9.jpg,../coded-books/Stephanie\Batch 1 training set\user2156_1997_book_8_9.jpg,art & max,https://www.google.com/books/edition/Art_Max/0XFVvdnjQTgC?hl=en&gbpv=0,yes,True,False,False,False,False,False,False,False
Stephanie,Batch 27,../coded-books/Stephanie\Batch 27,user2156_1997_book_8_9.jpg,../coded-books/Stephanie\Batch 27\user2156_1997_book_8_9.jpg,art & max,https://www.google.com/books/edition/Art_Max/0XFVvdnjQTgC?hl=en&gbpv=1&dq=art+and+max&printsec=frontcover,yes,True,False,False,False,False,False,False,False
Emily,Batch 1 training set,../coded-books/Emily\Batch 1 training set,user2180_23_book_4_4.jpg,../coded-books/Emily\Batch 1 training set\user2180_23_book_4_4.jpg,make a snowman,,no,False,False,False,False,False,False,False,False
Nicole Stern,Batch 1 training set,../coded-books/Nicole Stern\Batch 1 training set,user2180_23_book_4_4.jpg,../coded-books/Nicole Stern\Batch 1 training set\user2180_23_book_4_4.jpg,make a snowman,,no,False,False,False,False,False,False,False,False
Sabrina,Batch 1 training set,../coded-books/Sabrina\Batch 1 training set,user2180_23_book_4_4.jpg,../coded-books/Sabrina\Batch 1 training set\user2180_23_book_4_4.jpg,,,no,False,False,False,False,False,False,False,False
Stephanie,Batch 1 training set,../coded-books/Stephanie\Batch 1 training set,user2180_23_book_4_4.jpg,../coded-books/Stephanie\Batch 1 training set\user2180_23_book_4_4.jpg,make a snowman,,yes,True,False,False,False,False,False,False,False
Emily,Batch 25,../coded-books/Emily\Batch 25,user2180_23_book_4_4.jpg,../coded-books/Emily\Batch 25\user2180_23_book_4_4.jpg,,,no,True,False,False,False,False,False,False,False
Emily,Batch 1 training set,../coded-books/Emily\Batch 1 training set,user2219_2002_book_2_5.jpg,../coded-books/Emily\Batch 1 training set\user2219_2002_book_2_5.jpg,"oh, the places you'll go!",https://www.google.com/books/edition/Oh_the_Places_You_ll_Go/1q_xAwAAQBAJ?hl=en&gbpv=1&dq=oh+all+the+places+you%27ll+go&printsec=frontcover,yes,True,False,False,False,False,False,False,False
Nicole Stern,Batch 1 training set,../coded-books/Nicole Stern\Batch 1 training set,user2219_2002_book_2_5.jpg,../coded-books/Nicole Stern\Batch 1 training set\user2219_2002_book_2_5.jpg,"oh, the places you'll go!",https://www.google.com/books/edition/Oh_the_Places_You_ll_Go/1q_xAwAAQBAJ?hl=en&gbpv=0,yes,True,False,False,False,False,False,False,False
Sabrina,Batch 1 training set,../coded-books/Sabrina\Batch 1 training set,user2219_2002_book_2_5.jpg,../coded-books/Sabrina\Batch 1 training set\user2219_2002_book_2_5.jpg,,,no,False,False,False,False,False,False,False,False
Stephanie,Batch 1 training set,../coded-books/Stephanie\Batch 1 training set,user2219_2002_book_2_5.jpg,../coded-books/Stephanie\Batch 1 training set\user2219_2002_book_2_5.jpg,"oh, the places you'll go",https://www.google.com/books/edition/Oh_the_Places_You_ll_Go/1q_xAwAAQBAJ?hl=en&gbpv=1&dq=oh+the+places+you%27ll+go&printsec=frontcover,yes,True,False,False,False,False,False,False,False
Stephanie,Batch 13,../coded-books/Stephanie\Batch 13,user2219_2002_book_2_5.jpg,../coded-books/Stephanie\Batch 13\user2219_2002_book_2_5.jpg,"oh, the places you'll go!",https://www.google.com/books/edition/Oh_the_Places_You_ll_Go/1q_xAwAAQBAJ?hl=en&gbpv=1&dq=oh+the+places+you%27ll+go&printsec=frontcover,yes,True,False,False,False,False,False,False,False
Emily,Batch 1 training set,../coded-books/Emily\Batch 1 training set,user2276_2006_book_17_16.jpg,../coded-books/Emily\Batch 1 training set\user2276_2006_book_17_16.jpg,a bad case of stripes,https://www.google.com/books/edition/A_Bad_Case_of_Stripes/quHACwAAQBAJ?hl=en&gbpv=1&dq=stripes&printsec=frontcover,yes,False,False,False,False,False,False,False,False
Nicole Stern,Batch 1 training set,../coded-books/Nicole Stern\Batch 1 training set,user2276_2006_book_17_16.jpg,../coded-books/Nicole Stern\Batch 1 training set\user2276_2006_book_17_16.jpg,a bad case of stripes,https://www.google.com/books/edition/A_Bad_Case_of_Stripes/quHACwAAQBAJ?hl=en&gbpv=0,yes,False,False,False,False,False,False,False,False
Sabrina,Batch 1 training set,../coded-books/Sabrina\Batch 1 training set,user2276_2006_book_17_16.jpg,../coded-books/Sabrina\Batch 1 training set\user2276_2006_book_17_16.jpg,a bad case of stripes,https://www.google.com/books/edition/A_Bad_Case_of_Stripes/quHACwAAQBAJ?hl=en&gbpv=1&dq=stripes+book&printsec=frontcover,yes,False,True,False,False,False,False,False,False
Stephanie,Batch 1 training set,../coded-books/Stephanie\Batch 1 training set,user2276_2006_book_17_16.jpg,../coded-books/Stephanie\Batch 1 training set\user2276_2006_book_17_16.jpg,a bad case of stripes,https://www.google.com/books/edition/A_Bad_Case_of_Stripes/quHACwAAQBAJ?hl=en&gbpv=1&dq=stripes&printsec=frontcover,yes,False,False,False,False,False,False,False,False
Michelle,Batch 12,../coded-books/Michelle\Batch 12,user2276_2006_book_17_16.jpg,../coded-books/Michelle\Batch 12\user2276_2006_book_17_16.jpg,bad case of stripes ,https://books.google.com/books?id=quHACwAAQBAJ&printsec=frontcover&dq=bad+case+of+stripes&hl=en&newbks=1&newbks_redir=0&sa=X&ved=2ahUKEwjv08Xfj8D7AhXqEVkFHc6GA2YQ6AF6BAgJEAI#v=onepage&q=bad%20case%20of%20stripes&f=false,yes,True,False,False,False,False,False,False,False
Emily,Batch 1 training set,../coded-books/Emily\Batch 1 training set,user2281_2010_book_5_15.jpg,../coded-books/Emily\Batch 1 training set\user2281_2010_book_5_15.jpg,baditude: what to do when life stinks!,https://www.google.com/books/edition/Baditude_What_to_Do_When_Life_Stinks/1H5IDwAAQBAJ?hl=en&gbpv=1&dq=baditude&printsec=frontcover,with detective work,False,True,False,False,False,False,False,False
Nicole Stern,Batch 1 training set,../coded-books/Nicole Stern\Batch 1 training set,user2281_2010_book_5_15.jpg,../coded-books/Nicole Stern\Batch 1 training set\user2281_2010_book_5_15.jpg,,,no,False,False,False,False,False,False,False,False
Sabrina,Batch 1 training set,../coded-books/Sabrina\Batch 1 training set,user2281_2010_book_5_15.jpg,../coded-books/Sabrina\Batch 1 training set\user2281_2010_book_5_15.jpg,,,no,False,False,False,False,False,False,False,False
Stephanie,Batch 1 training set,../coded-books/Stephanie\Batch 1 training set,user2281_2010_book_5_15.jpg,../coded-books/Stephanie\Batch 1 training set\user2281_2010_book_5_15.jpg,,,no,False,False,False,False,False,False,False,False
Stephanie,Batch 15,../coded-books/Stephanie\Batch 15,user2281_2010_book_5_15.jpg,../coded-books/Stephanie\Batch 15\user2281_2010_book_5_15.jpg,,,no,True,False,False,False,False,False,False,False
